,Ghana poverty reduction strategy (GPRS I),"First medium term national development strategy, outlines policy framework for 2003-2005 ",Ghana,,,Region,National Development Planning Commission,,http://www.ndpc.gov.gh.html,,,,,Poverty Reduction Strategy Initiative,World Bank/International Monetary Fund,2003,Poverty,Economic Policy and External Debt,Health,Link to resource (URL),Ghana poverty reduction strategy (GPRS I),Report,http://www.ndpc.gov.gh/GPRS/GPRS%20I%202003-2005.pdf,,,,Administrator,,admin@datauncovered.com
,Growth and poverty reduction strategy (GPRS II),"2005 version of Ghana's Poverty Reduction Strategy Papers; reviews progress and outlines plan for 2006-2009; central goal to ""achieve middle income status within a measurable planning period""",Ghana,,,District,National Development Planning Commission,,http://www.ndpc.gov.gh.html,,,,,Poverty Reduction Strategy Initiative,World Bank/International Monetary Fund,2005,Poverty,Economic Policy and External Debt,Health,Link to resource (URL),Growth and poverty reduction strategy (GPRS II) 2006-2009,Report,http://www.ndpc.gov.gh/GPRS/GPRS%20II%202006.pdf,,,,Administrator,,admin@datauncovered.com
,Citizens' assessment of the National Health Insurance Scheme in Ghana,Survey to obtain feedback from citizens' perspective on whether the NHIS provides effective health care financing for the poor ,Ghana,,,Region,National Development Planning Commission,UNDP,http://www.ndpc.gov.gh.html,,,,,Implementation of the GPRSII,,2008,Health,Public Sector,Poverty,Link to resource (URL),Citizens' assessment of the National Health Insurance Scheme in Ghana,Report,http://www.ndpc.gov.gh/GPRS/Citizens'%20Assessment%20of%20NHIS%202008.pdf,,,,Administrator,,admin@datauncovered.com
,Annual progress report of the GPRS indicators,Seventh report in a series assessing progress made in implementing policies outlined in Poverty Reduction Strategies,Ghana,,,District,National Development Planning Commission,,http://www.ndpc.gov.gh.html,,,,,Implementation of the GPRSII,,2008,Poverty,Economic Policy and External Debt,Health,Link to resource (URL),2008 Annual Progress Report,Report,http://www.ndpc.gov.gh/GPRS/AnnualProgressReport-2008.pdf,,,,Administrator,,admin@datauncovered.com
 ,Rights and equity in the classroom: A case study of classroom interactions in Basic Schools in Ghana,Study to assess the extent to which gender equity and human rights education is taught and practiced in Ghanaian Basic Schools,Ghana,,,Region,"Research and Evaluation Unit, Curriculum Research and Development Division, Ghana Education Service",UNICEF Ghana,not available,Isaac Asiegbor,"Curriculum Research and Development Division, Ghana Education Service",Kathleen Finchham,"Curriculum Research and Development Division, Ghana Education Service",,UNICEF,2001,Education,Gender,,Link to resource (URL),Rights and equity in the classroom: A case study of classroom interactions in Basic Schools in Ghana,Report,http://www.unicef.org/evaldatabase/files/GHA_01-006.pdf,,,,Administrator,,admin@datauncovered.com
1,Basic statistics and planning parameters for basic education in Ghana,Aggregated regional statistics for analysing trends and patterns of school enrolment. ,Ghana,,,Region,Ministry of Education,,,,Management Information Systems and Statistics,,,Annual Planning Tool,GoG,2009,Education,,,No link,Basic statistics and planning parameters for basic education in Ghana,Report,,,,,Administrator,,admin@datauncovered.com
1,A study on policies and practices with regard to the imposition of levies by district assemblies and the provision of water and sanitation facilities,,Ghana,,,Region,Ministry of Education,,not available,,,,,,,,Infrastructure,,,No link,A study on policies and practices with regard to the imposition of levies by district assemblies and the provision of water and sanitation facilities,Report,,,,,Administrator,,admin@datauncovered.com
1,Situation analysis of children and women in Ghana 2000,"A study of pressing issues affecting women and children in Ghana. Core ares of focus were education, financial resources, domestic violence",Ghana,,,Region,UNICEF,GoG,www.unicef.org,,,,,"Situational Analysis of Children and Women in Ghana, 2000",UNICEF/GoG,2000,Gender,Health,Poverty,No link,Situation analysis of children and women in Ghana 2000,Report,,,,,Administrator,,admin@datauncovered.com
1,A study on the constitutional and legal framework for the right to pre-tertiary education ,This sought to investigate how state institutions mandated to providing tertiary education were implementing and enforcing the law within the context of 1992 constitution,Ghana,,,*UNKNOWN,UNICEF,Ministry of Education,www.unicef.org,Kofi Quashiga,University of Ghana,,,Legal and Constitutional Framework for Pre-tertairy Education in Ghana,UNICEF,2001,Education,,,No link,Legal and Constitutional Framework for Pre-tertairy Education in Ghana,Report,,,,,Kofi Quashigah,,kquashigah2001@yahoo.com 
1,Survey of insitution-based private providers of technical and vocational education and training (TVET) in Ghana,This was a study meant to assess facilities and resources available to private institutions that provide technical and vocational education at the pre-tertiary level ,Ghana,,,District,Ministry of Education,,,,,,,Technical and Vocational Education Situational Analysis,GoG,,Education,,,No link,Survey of insitution-based private providers of technical and vocational education and training (TVET) in Ghana,,,,,,Administrator,,admin@datauncovered.com
