,,Association of Ghana Industries Business Barometer ,Business barometer survey is conduted by Association of Ghana Industries (AGI) to provide firms or prospective investors the current business in Ghana,Ghana,,Region,,Association of Ghana Industries,,http://www.agighana.org,,,,,,,2010,Financial sector,Energy & Mining,Private Sector,Download,Association of Ghana Industries Business Barometer ,Report,http://www.agighana.org/Publications.aspx ,,,,Association of Ghana Industries,,agi@agighana.org,
,,Accra Women's Health Study,"A cross-sectional of burden of communicable and non-communicable diseases among women in Accra, Ghana. One aspect of the study dealt with HIV prevalence and risk factors while another section explored blood pressure incidence among the participants",Ghana,,City,,Harvard University,University of Ghana,http://www.hsph.harvard.edu,Rosemary B. Duda,Harvard Medical School,John Kwasi Anarfi,University of Ghana,,,2006,Health,MDG,,Download,HIV Prevalence and Risk Factors In Women of Accra: Results From The Women's Health Study of Accra,Journal Article,http://www.ajtmh.org/cgi/content/abstract/73/1/63 ,,,,Rosemary Duda,,rduda@caregroup.harvard.edu ,
1,,Survey/Test of Data Collection Tools In Civil Status,"Dans le cadre de l’appui à la Composante Gestion, le projet Banque Mondiale « Amélioration de la Gestion de l'Education dans les Pays Africains » (AGEPA) qui vise (i) la cohérence dans l’allocation des
ressources, et (ii) la transformation de ces ressources en résultats scolaires effectifs, a décidé de mener une étude sur les outils de gestion
utilisés par les différents acteurs clefs du système éducatif Sénégalais. Les résultats de cette étude alimentent le présent rapport structuré
comme suit : Présentation de la circonscription de Kébémer Présentation de la circonscription de Grand Dakar II Cadre méthodologique Rôles, responsabilités et outils de gestion des acteurs : état des
lieux",Senegal,,*UNKNOWN,,Senegal Ministry of Education,,http://www.education.gouv.sn/,,,,,,,,,,,,Survey/Test of Data Collection Tools In Civil Status,Report,http://siteresources.worldbank.org/EDUCATION/Resources/278200-1121703274255/1439264-1154965872542/Rapport_Senegal.pdf  ,,,,Senegal Ministry of Education,,,
,,"Service Assessment Survey, 2002","surveys conducted in health facilities and among providers and clients in developing countries to obtain information about the quality, infrastructure, utilization, and availability of maternal and child health, and family planning services",Ghana,,Region,,Ghana Statistical Service,Ghana Health Service,http://www.statsghana.gov.gh ,,,,,,,2002,Health,,,Download,"Mch Spa, 2000",Report,http://www.measuredhs.com/countries/metadata.cfm?surv_id=185&ctry_id=14&SrvyTp=ctry&cn=Ghana,,,,Ghana Statistical Service,23321682623,,
,,"Ghana Demographic and Health Survey, 1988","A survey that collected information relevant demographic and health information (maternal and infant mortality, fertility, family planning) about Ghanaians (men and women in the reproductive period) ",Ghana,,Region,,Ghana Statistical Service,,http://www.statsghana.gov.gh ,,,,,,,1988,Health,Education,Poverty,Download,Final Report,Report,http://www.measuredhs.com/countries/metadata.cfm?surv_id=58&ctry_id=14&SrvyTp=ctry&cn=Ghana,,,,Ghana Statistical Service,23321682623,,
,,"Ghana Demographic and Health Survey, 1998","A survey that collected information relevant demographic and health information (maternal and infant mortality, fertility, family planning) about Ghanaians (men and women in the reproductive period) ",Ghana,,Region,,Ghana Statistical Service,Macro International Inc.,http://www.statsghana.gov.gh ,,,,,,,1998,Health,Education,,Download,Final Report,Report,http://www.measuredhs.com/pubs/pub_details.cfm?ID=274&ctry_id=14&SrchTp=ctry ,,,,Ghana Statistical Service,23321682623,,
1,,Social Indicators Database,"The database is a measure of economic performance and social assessment. The 2005-2006 edition is the sixth edition of the Badis. BAdIs the device is an important aid in decision-making and an effective tool for applied research in economic and social development. It consists essentially of a set of economic and social indicators covering a period of more than twenty years. It contains over 2000 series divided into nine chapters including : Population; Price, deflators and exchange rates; National accounts and public finance; Employment: Private and Public Sector; External debt; Health; Food Security and Agriculture; Education - Literacy; Quality of life.
It allows to monitor the living conditions of populations.",Senegal,,Region,,Senegal Agence National de la Statistique et de la Démographie,,http://www.ansd.sn ,,,,,,,,Social Development,,,Link to resource (URL),Banque De Donnees Des Indicateurs Economiques Et Sociaux 2005 Et 2006,Report,http://www.ansd.sn/publications/annuelles/BADIS_2005_2006.pdf,,,,Binta Mbow GUISSE ,221338692139,statsenegal@ansd.sn,
1,,Financial and Economic Database,"This publication is the result of the end-year analysis of documents provided to the Centre Unique Collection of Information (SITC) by companies subject to the accounting SYSCOA. It provides information on corporate activity through tables on: i) Balance sheet (assets and liabilities), ii)Loss accounts (income and expenses), iii) Management ratios and financial structure and iv) Balances financial data in the table of resources and jobs.",Senegal,,National,,Senegal Agence National de la Statistique et de la Démographie,,http://www.ansd.sn ,,,,,,,,Private Sector,,,Link to resource (URL),Banque De Donnees Economiques Et Financieres Versions Definitive 2008 Et Provisoire 2009,Report,http://www.ansd.sn/publications/annuelles/BDEF_Def2008_Prov2009.pdf,,,,No name,221338692139,statsenegal@ansd.sn,
1,,"Analysis of External Trade 2006, 2007, 2008 and 2009","Annual publications provide: A summary of the annual statement of world trade by reviewing the evolution of commodity prices (oil, oilseeds, cotton, rice, sugar) for the year under review.",Senegal,,*UNKNOWN,,Senegal Agence National de la Statistique et de la Démographie,,http://www.ansd.sn/ ,Daouda Balle,Senegal Agence National de la Statistique et de la Démographie,Jean Paul DIAGNE,ANSD,,,,Economic Policy and External Debt,,,Link to resource (URL),"Analysis of External Trade 2006, 2007, 2008 and 2009",Report,http://www.ansd.sn/publications/annuelles/NACE_2009.pdf,,,,Aissata Guèye THIAM,221338692139,statsenegal@yahoo.fr,
,,"Ghana Demographic and Health Survey, 1993","A survey that collected information relevant demographic and health information (maternal and infant mortality, fertility, family planning) about Ghanaians (men and women in the reproductive period) ",Ghana,,Region,,Ghana Statistical Service,Macro International Inc.,http://www.statsghana.gov.gh ,,,,,,,1993,Health,Education,Poverty,Download,Final Report,Report,http://www.measuredhs.com/pubs/pub_details.cfm?ID=325&ctry_id=14&SrchTp=ctry,,,,Ghana Statistical Service,23321682623,,
1,,"Audit of National Accounts of Senegal, 2004-2008","Analysis of national accounts in two parts - summary results, tables; summarizes results of financial accounts for 2004, semi-final for 2005, and preliminary for 2006",Senegal,,*UNKNOWN,,Senegal Agence National de la Statistique et de la Démographie,,http://www.ansd.sn/,,,,,,,,Financial sector,Public Sector,Economic Policy and External Debt,Link to resource (URL),"Audit of National Accounts of Senegal, 2004-2008",Report,http://www.ansd.sn/publications/annuelles/NACN_0406.pdf,,,,Senegal Agence National de la Statistique et de la Démographie,,statsenegal@ansd.sn,
